Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2022-08-27T16:00:00.000Z,Nottingham Forest,Tottenham,home,1.93,-100,1.31
2022-10-21T16:00:00.000Z,Nottingham Forest,Liverpool,home,1.72,72,0.8176000000000001
2023-12-06T16:00:00.000Z,Aston Villa,Manchester City,home,2.13,112.99999999999999,0.7148571428571429
2025-01-14T16:00:00.000Z,Brentford,Manchester City,home,1.92,0,0.6093555555555555
2022-11-06T16:00:00.000Z,Tottenham,Liverpool,home,2.17,-100,0.42333333333333334
2024-08-31T16:00:00.000Z,Newcastle,Tottenham,home,1.92,92,0.293
2022-10-08T16:00:00.000Z,Arsenal,Liverpool,home,1.85,85.00000000000001,0.254
2022-12-26T16:00:00.000Z,Aston Villa,Liverpool,home,2.02,-100,0.23961904761904762
2022-08-20T16:00:00.000Z,West Ham,Brighton,home,2.05,-100,0.216
2024-09-21T16:00:00.000Z,Brighton,Nottingham Forest,home,2,0,0.2095
2022-10-20T16:00:00.000Z,Fulham,Aston Villa,home,1.74,74,0.2028
2023-01-02T16:00:00.000Z,Brentford,Liverpool,home,2.07,106.99999999999999,0.2004464285714286
2022-10-07T16:00:00.000Z,Bournemouth,Leicester,home,2.01,100.99999999999997,0.19
2023-02-25T16:00:00.000Z,Tottenham,Chelsea,home,2.03,102.99999999999999,0.18625
2024-05-13T16:00:00.000Z,Aston Villa,Liverpool,home,1.92,0,0.17249999999999996
2022-09-16T16:00:00.000Z,Nottingham Forest,Fulham,home,1.75,-100,0.17099999999999999
2023-09-02T16:00:00.000Z,Brighton,Newcastle,home,1.96,96,0.1685
2023-09-30T16:00:00.000Z,Tottenham,Liverpool,home,1.93,93,0.16533333333333336
2023-08-26T16:00:00.000Z,Newcastle,Liverpool,home,1.95,-100,0.161
2022-09-02T16:00:00.000Z,Wolves,Southampton,home,1.83,83,0.1515
2023-11-25T16:00:00.000Z,Tottenham,Aston Villa,home,1.94,-100,0.14700000000000002
