Date,HomeTeam,AwayTeam,Score,HandicapLine,BetSide,BetOdds,Profit,Result,FactorValue,FactorComponents,AHResult
2022-08-05T16:00:00.000Z,Fulham,Liverpool,2-2,+1.5/+2,HOME,1.860,86.00,WIN,1.5000,F1:1.5,home
2022-08-05T16:00:00.000Z,Crystal Palace,Arsenal,4-1,+0.5/+1,HOME,1.820,-100.00,LOSS,0.5000,F1:0.5,away
2022-08-05T16:00:00.000Z,Bournemouth,Aston Villa,2-0,0/+0.5,HOME,2.150,115.00,WIN,0.0000,F1:0,home
2022-08-05T16:00:00.000Z,Leeds,Wolves,2-1,0/-0.5,HOME,1.990,99.00,WIN,0.0000,F1:0,home
2022-08-05T16:00:00.000Z,Newcastle,Nottingham Forest,2-0,-1,AWAY,1.880,-100.00,LOSS,-1.0000,F1:-1,home
2022-08-05T16:00:00.000Z,Tottenham,Southampton,4-1,-1/-1.5,AWAY,2.120,-100.00,LOSS,-1.0000,F1:-1,home
2022-08-06T16:00:00.000Z,Everton,Chelsea,0-1,+1,HOME,1.980,0.00,PUSH,1.0000,F1:1,draw
2022-08-06T16:00:00.000Z,West Ham,Manchester City,3-0,+1/+1.5,HOME,2.100,-100.00,LOSS,1.0000,F1:1,away
2022-08-12T16:00:00.000Z,Brighton,Newcastle,0-0,0/-0.5,HOME,2.080,0.00,PUSH,0.0000,F1:0,draw
2022-08-12T16:00:00.000Z,Southampton,Leeds,2-2,0/-0.5,HOME,2.040,0.00,PUSH,0.0000,F1:0,draw
2022-08-12T16:00:00.000Z,Wolves,Fulham,0-0,0/-0.5,HOME,1.850,0.00,PUSH,0.0000,F1:0,draw
2022-08-12T16:00:00.000Z,Arsenal,Leicester,4-2,-1,AWAY,1.960,-100.00,LOSS,-1.0000,F1:-1,home
2022-08-12T16:00:00.000Z,Manchester City,Bournemouth,4-0,-2.5/-3,AWAY,1.970,-100.00,LOSS,-2.5000,F1:-2.5,home
2022-08-13T16:00:00.000Z,Nottingham Forest,West Ham,4-0,+0.5/+1,HOME,1.730,73.00,WIN,0.5000,F1:0.5,home
2022-08-13T16:00:00.000Z,Brentford,Manchester Utd,4-0,+0.5/+1,HOME,1.950,95.00,WIN,0.5000,F1:0.5,home
2022-08-13T16:00:00.000Z,Chelsea,Tottenham,2-2,0/-0.5,HOME,1.900,0.00,PUSH,0.0000,F1:0,draw
2022-08-15T16:00:00.000Z,Liverpool,Crystal Palace,1-1,-1.5/-2,AWAY,1.860,86.00,WIN,-1.5000,F1:-1.5,away
2022-08-19T16:00:00.000Z,Fulham,Brentford,3-2,0,HOME,1.870,87.00,WIN,0.0000,F1:0,home
2022-08-19T16:00:00.000Z,Crystal Palace,Aston Villa,3-1,0,HOME,1.720,72.00,WIN,0.0000,F1:0,home
2022-08-19T16:00:00.000Z,Tottenham,Wolves,1-0,-1/-1.5,AWAY,1.900,0.00,PUSH,-1.0000,F1:-1,draw
2022-08-20T16:00:00.000Z,Newcastle,Manchester City,3-3,+1/+1.5,HOME,1.920,92.00,WIN,1.0000,F1:1,home
2022-08-20T16:00:00.000Z,Leeds,Chelsea,1-0,+1,HOME,2.090,109.00,WIN,1.0000,F1:1,home
2022-08-20T16:00:00.000Z,Bournemouth,Arsenal,0-3,+1/+1.5,HOME,1.960,-100.00,LOSS,1.0000,F1:1,away
2022-08-20T16:00:00.000Z,West Ham,Brighton,0-2,0/-0.5,HOME,2.050,-100.00,LOSS,0.0000,F1:0,away
2022-08-22T16:00:00.000Z,Manchester Utd,Liverpool,2-1,+0.5/+1,HOME,2.020,102.00,WIN,0.5000,F1:0.5,home
2022-08-26T16:00:00.000Z,Southampton,Manchester Utd,0-1,+0.5/+1,HOME,1.700,-100.00,LOSS,0.5000,F1:0.5,away
2022-08-26T16:00:00.000Z,Brentford,Everton,1-1,0/-0.5,HOME,1.800,0.00,PUSH,0.0000,F1:0,draw
2022-08-26T16:00:00.000Z,Chelsea,Leicester,2-1,-1/-1.5,AWAY,2.030,0.00,PUSH,-1.0000,F1:-1,draw
2022-08-26T16:00:00.000Z,Manchester City,Crystal Palace,4-2,-2/-2.5,AWAY,1.740,0.00,PUSH,-2.0000,F1:-2,draw
2022-08-26T16:00:00.000Z,Liverpool,Bournemouth,9-0,-2/-2.5,AWAY,2.010,-100.00,LOSS,-2.0000,F1:-2,home
2022-08-27T16:00:00.000Z,Nottingham Forest,Tottenham,0-2,+1/+1.5,HOME,1.930,-100.00,LOSS,1.0000,F1:1,away
2022-08-27T16:00:00.000Z,Aston Villa,West Ham,0-1,0/-0.5,HOME,1.820,-100.00,LOSS,0.0000,F1:0,away
2022-08-27T16:00:00.000Z,Wolves,Newcastle,1-1,0,HOME,1.860,0.00,PUSH,0.0000,F1:0,draw
2022-08-27T16:00:00.000Z,Arsenal,Fulham,0-3,-1.5/-2,AWAY,1.660,66.00,WIN,-1.5000,F1:-1.5,away
2022-08-30T16:00:00.000Z,Southampton,Chelsea,2-1,+0.5/+1,HOME,2.070,107.00,WIN,0.5000,F1:0.5,home
2022-08-30T16:00:00.000Z,Crystal Palace,Brentford,1-1,0/-0.5,HOME,1.750,0.00,PUSH,0.0000,F1:0,draw
2022-08-30T16:00:00.000Z,Leeds,Everton,1-1,0/-0.5,HOME,1.760,0.00,PUSH,0.0000,F1:0,draw
2022-08-30T16:00:00.000Z,Fulham,Brighton,2-1,0/+0.5,HOME,1.880,88.00,WIN,0.0000,F1:0,home
2022-08-31T16:00:00.000Z,Bournemouth,Wolves,0-0,0/+0.5,HOME,1.900,0.00,PUSH,0.0000,F1:0,draw
2022-08-31T16:00:00.000Z,West Ham,Tottenham,1-1,0/+0.5,HOME,1.940,0.00,PUSH,0.0000,F1:0,draw
2022-08-31T16:00:00.000Z,Arsenal,Aston Villa,2-1,-1,AWAY,2.030,0.00,PUSH,-1.0000,F1:-1,draw
2022-08-31T16:00:00.000Z,Liverpool,Newcastle,2-1,-1.5/-2,AWAY,1.930,93.00,WIN,-1.5000,F1:-1.5,away
2022-08-31T16:00:00.000Z,Manchester City,Nottingham Forest,6-0,-2.5/-3,AWAY,1.980,-100.00,LOSS,-2.5000,F1:-2.5,home
2022-09-01T16:00:00.000Z,Leicester,Manchester Utd,0-1,0/+0.5,HOME,2.000,-100.00,LOSS,0.0000,F1:0,away
2022-09-02T16:00:00.000Z,Everton,Liverpool,0-0,+1/+1.5,HOME,2.060,106.00,WIN,1.0000,F1:1,home
2022-09-02T16:00:00.000Z,Wolves,Southampton,1-0,0/-0.5,HOME,1.830,83.00,WIN,0.0000,F1:0,home
2022-09-02T16:00:00.000Z,Nottingham Forest,Bournemouth,2-3,0/-0.5,HOME,1.860,-100.00,LOSS,0.0000,F1:0,away
2022-09-02T16:00:00.000Z,Newcastle,Crystal Palace,0-0,0/-0.5,HOME,1.720,0.00,PUSH,0.0000,F1:0,draw
2022-09-02T16:00:00.000Z,Brentford,Leeds,5-2,0/-0.5,HOME,1.820,82.00,WIN,0.0000,F1:0,home
2022-09-02T16:00:00.000Z,Tottenham,Fulham,2-1,-1/-1.5,AWAY,1.810,0.00,PUSH,-1.0000,F1:-1,draw
2022-09-03T16:00:00.000Z,Aston Villa,Manchester City,1-1,+1.5/+2,HOME,1.810,81.00,WIN,1.5000,F1:1.5,home
2022-09-03T16:00:00.000Z,Manchester Utd,Arsenal,3-1,0,HOME,1.910,91.00,WIN,0.0000,F1:0,home
2022-09-16T16:00:00.000Z,Wolves,Manchester City,0-3,+1.5/+2,HOME,1.740,-100.00,LOSS,1.5000,F1:1.5,away
2022-09-16T16:00:00.000Z,Aston Villa,Southampton,1-0,0/-0.5,HOME,1.720,72.00,WIN,0.0000,F1:0,home
2022-09-16T16:00:00.000Z,Nottingham Forest,Fulham,2-0,0/+0.5,HOME,1.750,-100.00,LOSS,0.0000,F1:0,away
2022-09-16T16:00:00.000Z,Newcastle,Bournemouth,1-1,-1/-1.5,AWAY,2.000,100.00,WIN,-1.0000,F1:-1,away
2022-09-17T16:00:00.000Z,Brentford,Arsenal,0-3,+0.5/+1,HOME,1.850,-100.00,LOSS,0.5000,F1:0.5,away
2022-09-17T16:00:00.000Z,Everton,West Ham,2-0,0,HOME,2.010,101.00,WIN,0.0000,F1:0,home
2022-09-17T16:00:00.000Z,Tottenham,Leicester,6-2,-1,AWAY,2.090,-100.00,LOSS,-1.0000,F1:-1,home
2022-09-30T16:00:00.000Z,Crystal Palace,Chelsea,1-2,+0.5/+1,HOME,1.940,-100.00,LOSS,0.5000,F1:0.5,away
2022-09-30T16:00:00.000Z,Fulham,Newcastle,1-4,0,HOME,1.950,-100.00,LOSS,0.0000,F1:0,away
2022-09-30T16:00:00.000Z,Bournemouth,Brentford,0-0,0/+0.5,HOME,1.880,0.00,PUSH,0.0000,F1:0,draw
2022-09-30T16:00:00.000Z,Southampton,Everton,1-2,0/-0.5,HOME,2.000,-100.00,LOSS,0.0000,F1:0,away
2022-09-30T16:00:00.000Z,Liverpool,Brighton,3-3,-1/-1.5,AWAY,1.900,90.00,WIN,-1.0000,F1:-1,away
2022-10-01T16:00:00.000Z,Leeds,Aston Villa,0-0,0/-0.5,HOME,2.050,0.00,PUSH,0.0000,F1:0,draw
2022-10-01T16:00:00.000Z,West Ham,Wolves,2-0,0/-0.5,HOME,1.720,72.00,WIN,0.0000,F1:0,home
2022-10-01T16:00:00.000Z,Manchester City,Manchester Utd,6-3,-1/-1.5,AWAY,1.990,-100.00,LOSS,-1.0000,F1:-1,home
2022-10-07T16:00:00.000Z,Bournemouth,Leicester,2-1,0/+0.5,HOME,2.010,101.00,WIN,0.0000,F1:0,home
