Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2024-04-04T16:00:00.000Z,Liverpool,Sheff Utd,home,1.88,87.99999999999999,450
2023-12-29T16:00:00.000Z,Manchester City,Sheff Utd,home,1.97,97,432.69230769230774
2025-03-07T16:00:00.000Z,Liverpool,Southampton,home,1.98,98,361.90476190476187
2024-12-26T16:00:00.000Z,Liverpool,Leicester,home,1.77,77,304.76190476190476
2024-01-31T16:00:00.000Z,Manchester City,Burnley,home,2.16,116.00000000000001,288.6792452830189
2024-10-25T16:00:00.000Z,Manchester City,Southampton,home,2.07,106.99999999999999,288.6792452830189
2024-04-12T16:00:00.000Z,Manchester City,Luton,home,1.92,92,285.71428571428567
2023-11-03T16:00:00.000Z,Manchester City,Bournemouth,home,1.95,95,266.66666666666663
2024-02-09T16:00:00.000Z,Liverpool,Burnley,home,1.88,87.99999999999999,266.66666666666663
2023-10-27T16:00:00.000Z,Arsenal,Sheff Utd,home,1.76,76,256.60377358490564
2024-04-03T16:00:00.000Z,Arsenal,Luton,home,1.7,70,254.71698113207546
2025-01-24T16:00:00.000Z,Liverpool,Ipswich,home,2.02,102,254.2056074766355
2023-03-03T16:00:00.000Z,Arsenal,Bournemouth,home,1.71,71,245.45454545454547
2022-10-07T16:00:00.000Z,Manchester City,Southampton,home,2.02,102,237.73584905660377
2023-11-10T16:00:00.000Z,Arsenal,Burnley,home,1.96,96,237.037037037037
2023-04-15T16:00:00.000Z,Manchester City,Leicester,home,1.82,82,236.1111111111111
2024-12-27T16:00:00.000Z,Arsenal,Ipswich,home,1.94,94,236.1111111111111
2022-08-31T16:00:00.000Z,Manchester City,Nottingham Forest,home,1.84,84.00000000000001,228.57142857142856
2024-08-23T16:00:00.000Z,Manchester City,Ipswich,home,2,100,226.4150943396226
2022-12-30T16:00:00.000Z,Manchester City,Everton,home,1.77,0,222.42990654205607
2024-10-04T16:00:00.000Z,Arsenal,Southampton,home,1.78,78,220.18348623853208
2023-04-21T16:00:00.000Z,Arsenal,Southampton,home,2.03,0,218.58407079646022
2023-12-15T16:00:00.000Z,Manchester City,Crystal Palace,home,1.92,0,209.1743119266055
2022-10-29T16:00:00.000Z,Arsenal,Nottingham Forest,home,1.78,78,207.07964601769916
2023-05-05T16:00:00.000Z,Manchester City,Leeds,home,1.92,92,205.5045871559633
2025-02-25T16:00:00.000Z,Chelsea,Southampton,home,1.82,82,201.38888888888886
2023-04-29T16:00:00.000Z,Newcastle,Southampton,home,1.83,83,188.05309734513276
2023-12-22T16:00:00.000Z,Aston Villa,Sheff Utd,home,1.96,0,180.18018018018017
2024-04-13T16:00:00.000Z,Liverpool,Crystal Palace,home,1.77,-100,173.394495412844
