Match_Index,Match_ID,Date,Season,Week,Home_Team,Away_Team,Home_Position,Away_Position,Strategy_Factor,Home_Score,Away_Score,Actual_Result,Bet_Side,AH_Handicap,AH_Odds,Implied_Probability_Percent,Bet_Amount,AH_Result,AH_Profit_USD,Running_Profit_USD
15,2022-08-12T16_00_00_000Z_Southampton_Leeds,2022-08-12T16:00:00.000Z,2022-2023,2,"Southampton","Leeds",20,6,14,2,2,DRAW,AWAY,0/+0.5,1.79,55.9,100,PUSH,39.50,39.50
43,2022-08-30T16_00_00_000Z_Leeds_Everton,2022-08-30T16:00:00.000Z,2022-2023,5,"Leeds","Everton",5,18,13,1,1,DRAW,HOME,0/-0.5,1.76,56.8,100,PUSH,-50.00,-10.50
47,2022-08-31T16_00_00_000Z_Arsenal_Aston_Villa,2022-08-31T16:00:00.000Z,2022-2023,5,"Arsenal","Aston Villa",2,16,14,2,1,HOME_WIN,HOME,-1,1.80,55.6,100,PUSH,0.00,-10.50
49,2022-08-31T16_00_00_000Z_West_Ham_Tottenham,2022-08-31T16:00:00.000Z,2022-2023,5,"West Ham","Tottenham",18,3,15,1,1,DRAW,AWAY,0/-0.5,1.88,53.2,100,PUSH,-50.00,-60.50
55,2022-09-02T16_00_00_000Z_Everton_Liverpool,2022-09-02T16:00:00.000Z,2022-2023,6,"Everton","Liverpool",18,6,12,0,0,DRAW,AWAY,-1/-1.5,1.77,56.5,100,LOSE,-100.00,-160.50
58,2022-09-03T16_00_00_000Z_Aston_Villa_Manchester_City,2022-09-03T16:00:00.000Z,2022-2023,6,"Aston Villa","Manchester City",19,3,16,1,1,DRAW,AWAY,-1.5/-2,2.01,49.8,100,LOSE,-100.00,-260.50
59,2022-09-03T16_00_00_000Z_Brighton_Leicester,2022-09-03T16:00:00.000Z,2022-2023,6,"Brighton","Leicester",4,20,16,5,2,HOME_WIN,HOME,-0.5/-1,2.17,46.1,100,WIN,117.00,-143.50
63,2022-09-16T16_00_00_000Z_Wolves_Manchester_City,2022-09-16T16:00:00.000Z,2022-2023,8,"Wolves","Manchester City",15,2,13,0,3,AWAY_WIN,AWAY,-1.5/-2,2.11,47.4,100,WIN,111.00,-32.50
65,2022-09-17T16_00_00_000Z_Tottenham_Leicester,2022-09-17T16:00:00.000Z,2022-2023,8,"Tottenham","Leicester",3,20,17,6,2,HOME_WIN,HOME,-1,1.75,57.1,100,WIN,75.00,42.50
79,2022-10-07T16_00_00_000Z_Chelsea_Wolves,2022-10-07T16:00:00.000Z,2022-2023,10,"Chelsea","Wolves",6,18,12,3,0,HOME_WIN,HOME,-1/-1.5,2.13,46.9,100,WIN,113.00,155.50
80,2022-10-07T16_00_00_000Z_Manchester_City_Southampton,2022-10-07T16:00:00.000Z,2022-2023,10,"Manchester City","Southampton",2,16,14,4,0,HOME_WIN,HOME,-2.5/-3,2.02,49.5,100,WIN,102.00,257.50
94,2022-10-15T16_00_00_000Z_Aston_Villa_Chelsea,2022-10-15T16:00:00.000Z,2022-2023,11,"Aston Villa","Chelsea",16,4,12,0,2,AWAY_WIN,AWAY,-0.5/-1,2.19,45.7,100,WIN,119.00,376.50
96,2022-10-15T16_00_00_000Z_Leeds_Arsenal,2022-10-15T16:00:00.000Z,2022-2023,11,"Leeds","Arsenal",15,1,14,0,1,AWAY_WIN,AWAY,-1,1.98,50.5,100,PUSH,0.00,376.50
113,2022-10-22T16_00_00_000Z_Southampton_Arsenal,2022-10-22T16:00:00.000Z,2022-2023,13,"Southampton","Arsenal",16,1,15,1,1,DRAW,AWAY,-1/-1.5,1.95,51.3,100,LOSE,-100.00,276.50
120,2022-10-28T16_00_00_000Z_Newcastle_Aston_Villa,2022-10-28T16:00:00.000Z,2022-2023,14,"Newcastle","Aston Villa",4,15,11,4,0,HOME_WIN,HOME,-0.5/-1,1.93,51.8,100,WIN,93.00,369.50
121,2022-10-28T16_00_00_000Z_Leicester_Manchester_City,2022-10-28T16:00:00.000Z,2022-2023,14,"Leicester","Manchester City",17,2,15,0,1,AWAY_WIN,AWAY,-1/-1.5,1.82,54.9,100,PUSH,-50.00,319.50
125,2022-10-29T16_00_00_000Z_Arsenal_Nottingham_Forest,2022-10-29T16:00:00.000Z,2022-2023,14,"Arsenal","Nottingham Forest",2,20,18,5,0,HOME_WIN,HOME,-1.5/-2,1.78,56.2,100,WIN,78.00,397.50
131,2022-11-05T16_00_00_000Z_Southampton_Newcastle,2022-11-05T16:00:00.000Z,2022-2023,15,"Southampton","Newcastle",16,4,12,1,4,AWAY_WIN,AWAY,-0.5/-1,2.00,50.0,100,WIN,100.00,497.50
135,2022-11-05T16_00_00_000Z_Aston_Villa_Manchester_Utd,2022-11-05T16:00:00.000Z,2022-2023,15,"Aston Villa","Manchester Utd",17,5,12,3,1,HOME_WIN,AWAY,0/-0.5,1.88,53.2,100,LOSE,-100.00,397.50
210,2023-02-08T16_00_00_000Z_Manchester_Utd_Leeds,2023-02-08T16:00:00.000Z,2023-2024,8,"Manchester Utd","Leeds",3,17,14,2,2,DRAW,HOME,-1/-1.5,2.03,49.3,100,LOSE,-100.00,297.50
240,2023-03-01T16_00_00_000Z_Arsenal_Everton,2023-03-01T16:00:00.000Z,2023-2024,7,"Arsenal","Everton",1,18,17,4,0,HOME_WIN,HOME,-1.5/-2,2.14,46.7,100,WIN,114.00,411.50
285,2023-04-05T16_00_00_000Z_West_Ham_Newcastle,2023-04-05T16:00:00.000Z,2023-2024,7,"West Ham","Newcastle",15,3,12,1,5,AWAY_WIN,AWAY,0/-0.5,1.85,54.1,100,WIN,85.00,496.50
392,2023-08-18T16_00_00_000Z_Wolves_Brighton,2023-08-18T16:00:00.000Z,2023-2024,2,"Wolves","Brighton",15,2,13,1,4,AWAY_WIN,AWAY,-0.5/-1,2.00,50.0,100,WIN,100.00,596.50
404,2023-08-25T16_00_00_000Z_Bournemouth_Tottenham,2023-08-25T16:00:00.000Z,2023-2024,3,"Bournemouth","Tottenham",16,6,10,0,2,AWAY_WIN,AWAY,-0.5/-1,2.19,45.7,100,WIN,119.00,715.50
409,2023-08-26T16_00_00_000Z_Sheff_Utd_Manchester_City,2023-08-26T16:00:00.000Z,2023-2024,3,"Sheff Utd","Manchester City",17,6,11,1,2,AWAY_WIN,AWAY,-1.5/-2,1.77,56.5,100,LOSE,-100.00,615.50
410,2023-09-01T16_00_00_000Z_Luton_West_Ham,2023-09-01T16:00:00.000Z,2023-2024,4,"Luton","West Ham",19,2,17,1,2,AWAY_WIN,AWAY,-0.5/-1,1.87,53.5,100,PUSH,43.50,659.00
