Match_Index,Match_ID,Date,Season,Week,Home_Team,Away_Team,Home_Position,Away_Position,Strategy_Factor,Home_Score,Away_Score,Actual_Result,Bet_Side,AH_Handicap,AH_Odds,Implied_Probability_Percent,Bet_Amount,AH_Result,AH_Profit_USD,Running_Profit_USD
348,2023-05-12T16_00_00_000Z_Southampton_Fulham,2023-05-12T16:00:00.000Z,2023-2024,36,"Southampton","Fulham",20,10,20,0,2,AWAY_WIN,HOME,0,1.96,51.0,100,LOSE,-100.00,-100.00
359,2023-05-19T16_00_00_000Z_Wolves_Everton,2023-05-19T16:00:00.000Z,2023-2024,37,"Wolves","Everton",13,17,17,1,1,DRAW,AWAY,0/-0.5,2.00,50.0,100,PUSH,-50.00,-150.00
371,2023-05-27T16_00_00_000Z_Leicester_West_Ham,2023-05-27T16:00:00.000Z,2023-2024,38,"Leicester","West Ham",18,14,18,2,1,HOME_WIN,HOME,0/-0.5,1.78,56.2,100,WIN,78.00,-72.00
375,2023-05-27T16_00_00_000Z_Leeds_Tottenham,2023-05-27T16:00:00.000Z,2023-2024,38,"Leeds","Tottenham",19,8,19,1,4,AWAY_WIN,HOME,0,2.09,47.8,100,LOSE,-100.00,-172.00
714,2024-04-26T16_00_00_000Z_Wolves_Luton,2024-04-26T16:00:00.000Z,2024-2025,35,"Wolves","Luton",13,18,18,2,1,HOME_WIN,AWAY,+0.5/+1,1.73,57.8,100,PUSH,-50.00,-222.00
722,2024-05-03T16_00_00_000Z_Luton_Everton,2024-05-03T16:00:00.000Z,2024-2025,36,"Luton","Everton",18,13,18,1,1,DRAW,HOME,0,1.98,50.5,100,PUSH,0.00,-222.00
737,2024-05-10T16_00_00_000Z_West_Ham_Luton,2024-05-10T16:00:00.000Z,2024-2025,37,"West Ham","Luton",9,18,18,3,1,HOME_WIN,AWAY,+0.5/+1,1.75,57.1,100,LOSE,-100.00,-322.00
738,2024-05-10T16_00_00_000Z_Everton_Sheff_Utd,2024-05-10T16:00:00.000Z,2024-2025,37,"Everton","Sheff Utd",14,20,20,1,0,HOME_WIN,AWAY,+1/+1.5,2.05,48.8,100,PUSH,52.50,-269.50
1097,2025-05-09T16_00_00_000Z_Ipswich_Brentford,2025-05-09T16:00:00.000Z,2024-2025,36,"Ipswich","Brentford",18,11,18,0,1,AWAY_WIN,HOME,+1,2.07,48.3,100,PUSH,0.00,-269.50
1106,2025-05-10T16_00_00_000Z_Tottenham_Crystal_Palace,2025-05-10T16:00:00.000Z,2024-2025,36,"Tottenham","Crystal Palace",17,12,17,0,2,AWAY_WIN,HOME,0/+0.5,1.85,54.1,100,LOSE,-100.00,-369.50
1109,2025-05-17T16_00_00_000Z_Everton_Southampton,2025-05-17T16:00:00.000Z,2024-2025,37,"Everton","Southampton",13,20,20,2,0,HOME_WIN,AWAY,+1/+1.5,1.96,51.0,100,LOSE,-100.00,-469.50
1120,2025-05-24T16_00_00_000Z_Bournemouth_Leicester,2025-05-24T16:00:00.000Z,2024-2025,38,"Bournemouth","Leicester",12,18,18,2,0,HOME_WIN,AWAY,+1.5/+2,1.73,57.8,100,PUSH,-50.00,-519.50
1124,2025-05-24T16_00_00_000Z_Tottenham_Brighton,2025-05-24T16:00:00.000Z,2024-2025,38,"Tottenham","Brighton",17,8,17,1,4,AWAY_WIN,HOME,+0.5/+1,1.72,58.1,100,LOSE,-100.00,-619.50
