Match_Index,Match_ID,Date,Season,Week,Home_Team,Away_Team,Home_Position,Away_Position,Strategy_Factor,Home_Score,Away_Score,Actual_Result,Bet_Side,AH_Handicap,AH_Odds,Implied_Probability_Percent,Bet_Amount,AH_Result,AH_Profit_USD,Running_Profit_USD
139,2022-11-11T16_00_00_000Z_Manchester_City_Brentford,2022-11-11T16:00:00.000Z,2022-2023,16,"Manchester City","Brentford",2,12,10,1,2,AWAY_WIN,HOME,-2/-2.5,1.92,52.1,100,LOSE,-100.00,-100.00
140,2022-11-11T16_00_00_000Z_Liverpool_Southampton,2022-11-11T16:00:00.000Z,2022-2023,16,"Liverpool","Southampton",8,18,10,3,1,HOME_WIN,HOME,-1.5/-2,1.84,54.3,100,PUSH,42.00,-58.00
141,2022-11-11T16_00_00_000Z_Tottenham_Leeds,2022-11-11T16:00:00.000Z,2022-2023,16,"Tottenham","Leeds",4,14,10,4,3,HOME_WIN,HOME,-0.5/-1,1.70,58.8,100,PUSH,35.00,-23.00
143,2022-11-12T16_00_00_000Z_Wolves_Arsenal,2022-11-12T16:00:00.000Z,2022-2023,16,"Wolves","Arsenal",20,1,19,0,2,AWAY_WIN,AWAY,-1,1.87,53.5,100,WIN,87.00,64.00
145,2022-11-12T16_00_00_000Z_Brighton_Aston_Villa,2022-11-12T16:00:00.000Z,2022-2023,16,"Brighton","Aston Villa",7,15,8,1,2,AWAY_WIN,HOME,-0.5/-1,1.99,50.3,100,LOSE,-100.00,-36.00
147,2022-12-25T16_00_00_000Z_Southampton_Brighton,2022-12-25T16:00:00.000Z,2022-2023,17,"Southampton","Brighton",19,7,12,1,3,AWAY_WIN,AWAY,0/-0.5,1.80,55.6,100,WIN,80.00,44.00
148,2022-12-25T16_00_00_000Z_Leicester_Newcastle,2022-12-25T16:00:00.000Z,2022-2023,17,"Leicester","Newcastle",13,3,10,0,3,AWAY_WIN,AWAY,0/-0.5,1.79,55.9,100,WIN,79.00,123.00
150,2022-12-25T16_00_00_000Z_Crystal_Palace_Fulham,2022-12-25T16:00:00.000Z,2022-2023,17,"Crystal Palace","Fulham",11,9,2,0,3,AWAY_WIN,AWAY,0/+0.5,1.92,52.1,100,WIN,92.00,215.00
152,2022-12-26T16_00_00_000Z_Arsenal_West_Ham,2022-12-26T16:00:00.000Z,2022-2023,17,"Arsenal","West Ham",1,16,15,3,1,HOME_WIN,HOME,-1,1.87,53.5,100,WIN,87.00,302.00
153,2022-12-26T16_00_00_000Z_Aston_Villa_Liverpool,2022-12-26T16:00:00.000Z,2022-2023,17,"Aston Villa","Liverpool",12,7,5,1,3,AWAY_WIN,AWAY,-0.5/-1,1.81,55.2,100,WIN,81.00,383.00
154,2022-12-27T16_00_00_000Z_Manchester_Utd_Nottingham_Forest,2022-12-27T16:00:00.000Z,2022-2023,17,"Manchester Utd","Nottingham Forest",5,19,14,3,0,HOME_WIN,HOME,-1.5/-2,2.07,48.3,100,WIN,107.00,490.00
155,2022-12-27T16_00_00_000Z_Chelsea_Bournemouth,2022-12-27T16:00:00.000Z,2022-2023,17,"Chelsea","Bournemouth",9,14,5,2,0,HOME_WIN,HOME,-1.5/-2,2.14,46.7,100,PUSH,57.00,547.00
156,2022-12-28T16_00_00_000Z_Leeds_Manchester_City,2022-12-28T16:00:00.000Z,2022-2023,17,"Leeds","Manchester City",15,3,12,1,3,AWAY_WIN,AWAY,-1.5/-2,1.85,54.1,100,PUSH,42.50,589.50
157,2022-12-30T16_00_00_000Z_West_Ham_Brentford,2022-12-30T16:00:00.000Z,2022-2023,18,"West Ham","Brentford",16,10,6,0,2,AWAY_WIN,AWAY,0/+0.5,2.09,47.8,100,WIN,109.00,698.50
158,2022-12-30T16_00_00_000Z_Liverpool_Leicester,2022-12-30T16:00:00.000Z,2022-2023,18,"Liverpool","Leicester",6,13,7,2,1,HOME_WIN,HOME,-1.5/-2,1.72,58.1,100,LOSE,-100.00,598.50
159,2022-12-30T16_00_00_000Z_Wolves_Manchester_Utd,2022-12-30T16:00:00.000Z,2022-2023,18,"Wolves","Manchester Utd",18,5,13,0,1,AWAY_WIN,AWAY,-0.5/-1,2.09,47.8,100,PUSH,54.50,653.00
160,2022-12-30T16_00_00_000Z_Fulham_Southampton,2022-12-30T16:00:00.000Z,2022-2023,18,"Fulham","Southampton",10,20,10,2,1,HOME_WIN,HOME,-0.5/-1,1.97,50.8,100,PUSH,48.50,701.50
162,2022-12-30T16_00_00_000Z_Manchester_City_Everton,2022-12-30T16:00:00.000Z,2022-2023,18,"Manchester City","Everton",2,16,14,1,1,DRAW,HOME,-2/-2.5,1.77,56.5,100,LOSE,-100.00,601.50
163,2022-12-30T16_00_00_000Z_Newcastle_Leeds,2022-12-30T16:00:00.000Z,2022-2023,18,"Newcastle","Leeds",3,15,12,0,0,DRAW,HOME,-1/-1.5,1.93,51.8,100,LOSE,-100.00,501.50
164,2022-12-31T16_00_00_000Z_Tottenham_Aston_Villa,2022-12-31T16:00:00.000Z,2022-2023,18,"Tottenham","Aston Villa",5,12,7,0,2,AWAY_WIN,HOME,-0.5/-1,1.73,57.8,100,LOSE,-100.00,401.50
166,2023-01-01T16_00_00_000Z_Nottingham_Forest_Chelsea,2023-01-01T16:00:00.000Z,2023-2024,18,"Nottingham Forest","Chelsea",19,9,10,1,1,DRAW,AWAY,-1,1.93,51.8,100,LOSE,-100.00,301.50
168,2023-01-03T16_00_00_000Z_Everton_Brighton,2023-01-03T16:00:00.000Z,2023-2024,19,"Everton","Brighton",16,10,6,1,4,AWAY_WIN,AWAY,0/-0.5,1.96,51.0,100,WIN,96.00,397.50
169,2023-01-03T16_00_00_000Z_Manchester_Utd_Bournemouth,2023-01-03T16:00:00.000Z,2023-2024,19,"Manchester Utd","Bournemouth",4,15,11,3,0,HOME_WIN,HOME,-1.5/-2,1.92,52.1,100,WIN,92.00,489.50
170,2023-01-03T16_00_00_000Z_Leicester_Fulham,2023-01-03T16:00:00.000Z,2023-2024,19,"Leicester","Fulham",13,9,4,0,1,AWAY_WIN,AWAY,0/+0.5,1.81,55.2,100,WIN,81.00,570.50
