Match_Index,Match_ID,Date,Season,Week,Home_Team,Away_Team,Home_Position,Away_Position,Strategy_Factor,Home_Score,Away_Score,Actual_Result,Bet_Side,AH_Handicap,AH_Odds,Implied_Probability_Percent,Bet_Amount,AH_Result,AH_Profit_USD,Running_Profit_USD
234,2023-02-24T16_00_00_000Z_West_Ham_Nottingham_Forest,2023-02-24T16:00:00.000Z,2023-2024,25,"West Ham","Nottingham Forest",18,13,1,4,0,HOME_WIN,AWAY,+0.5/+1,2.05,48.8,100,LOSE,-100.00,-100.00
236,2023-02-24T16_00_00_000Z_Leeds_Southampton,2023-02-24T16:00:00.000Z,2023-2024,25,"Leeds","Southampton",19,20,5,1,0,HOME_WIN,HOME,-0.5/-1,2.15,46.5,100,PUSH,57.50,-42.50
239,2023-02-25T16_00_00_000Z_Bournemouth_Manchester_City,2023-02-25T16:00:00.000Z,2023-2024,25,"Bournemouth","Manchester City",19,2,2,1,4,AWAY_WIN,AWAY,-1.5/-2,1.97,50.8,100,WIN,97.00,54.50
246,2023-03-03T16_00_00_000Z_Arsenal_Bournemouth,2023-03-03T16:00:00.000Z,2023-2024,26,"Arsenal","Bournemouth",1,19,2,3,2,HOME_WIN,HOME,-1.5/-2,1.71,58.5,100,LOSE,-100.00,-45.50
248,2023-03-04T16_00_00_000Z_Southampton_Leicester,2023-03-04T16:00:00.000Z,2023-2024,26,"Southampton","Leicester",20,15,3,1,0,HOME_WIN,AWAY,0,1.78,56.2,100,LOSE,-100.00,-145.50
249,2023-03-04T16_00_00_000Z_Nottingham_Forest_Everton,2023-03-04T16:00:00.000Z,2023-2024,26,"Nottingham Forest","Everton",14,18,1,2,2,DRAW,HOME,0,2.08,48.1,100,PUSH,0.00,-145.50
254,2023-03-10T16_00_00_000Z_Bournemouth_Liverpool,2023-03-10T16:00:00.000Z,2023-2024,27,"Bournemouth","Liverpool",20,5,3,1,0,HOME_WIN,AWAY,-1/-1.5,1.86,53.8,100,LOSE,-100.00,-245.50
256,2023-03-10T16_00_00_000Z_Everton_Brentford,2023-03-10T16:00:00.000Z,2023-2024,27,"Everton","Brentford",19,9,2,1,0,HOME_WIN,AWAY,0,2.00,50.0,100,LOSE,-100.00,-345.50
258,2023-03-11T16_00_00_000Z_West_Ham_Aston_Villa,2023-03-11T16:00:00.000Z,2023-2024,27,"West Ham","Aston Villa",18,11,1,1,1,DRAW,AWAY,0/+0.5,1.87,53.5,100,PUSH,43.50,-302.00
259,2023-03-11T16_00_00_000Z_Manchester_Utd_Southampton,2023-03-11T16:00:00.000Z,2023-2024,27,"Manchester Utd","Southampton",3,20,3,0,0,DRAW,HOME,-1.5/-2,1.90,52.6,100,LOSE,-100.00,-402.00
265,2023-03-17T16_00_00_000Z_Aston_Villa_Bournemouth,2023-03-17T16:00:00.000Z,2023-2024,28,"Aston Villa","Bournemouth",11,18,1,3,0,HOME_WIN,HOME,-0.5/-1,1.88,53.2,100,WIN,88.00,-314.00
266,2023-03-17T16_00_00_000Z_Wolves_Leeds,2023-03-17T16:00:00.000Z,2023-2024,28,"Wolves","Leeds",13,19,2,2,4,AWAY_WIN,HOME,0/-0.5,1.90,52.6,100,LOSE,-100.00,-414.00
267,2023-03-17T16_00_00_000Z_Southampton_Tottenham,2023-03-17T16:00:00.000Z,2023-2024,28,"Southampton","Tottenham",20,4,3,3,3,DRAW,AWAY,-0.5/-1,1.95,51.3,100,LOSE,-100.00,-514.00
275,2023-03-31T16_00_00_000Z_Bournemouth_Fulham,2023-03-31T16:00:00.000Z,2023-2024,29,"Bournemouth","Fulham",19,9,2,2,1,HOME_WIN,AWAY,0,2.05,48.8,100,LOSE,-100.00,-614.00
277,2023-04-01T16_00_00_000Z_West_Ham_Southampton,2023-04-01T16:00:00.000Z,2023-2024,29,"West Ham","Southampton",19,20,5,1,0,HOME_WIN,HOME,-0.5/-1,1.89,52.9,100,PUSH,44.50,-569.50
