Date,HomeTeam,AwayTeam,Score,HandicapLine,BetSide,BetOdds,Profit,Result,FactorValue,FactorComponents,AHResult
2022-08-05T16:00:00.000Z,Crystal Palace,Arsenal,4-1,+0.5/+1,AWAY,2.000,100.00,WIN,0.0000,F1:0(Away:20-Home:20),away
2022-08-05T16:00:00.000Z,Bournemouth,Aston Villa,2-0,0/+0.5,AWAY,1.710,-100.00,LOSS,0.0000,F1:0(Away:20-Home:20),home
2022-08-05T16:00:00.000Z,Leeds,Wolves,2-1,0/-0.5,AWAY,1.830,-100.00,LOSS,0.0000,F1:0(Away:20-Home:20),home
2022-08-05T16:00:00.000Z,Newcastle,Nottingham Forest,2-0,-1,AWAY,1.880,-100.00,LOSS,0.0000,F1:0(Away:20-Home:20),home
2022-08-05T16:00:00.000Z,Tottenham,Southampton,4-1,-1/-1.5,AWAY,2.120,-100.00,LOSS,0.0000,F1:0(Away:20-Home:20),home
2022-08-05T16:00:00.000Z,Fulham,Liverpool,2-2,+1.5/+2,AWAY,1.960,-100.00,LOSS,0.0000,F1:0(Away:20-Home:20),home
2022-08-06T16:00:00.000Z,Leicester,Brentford,2-2,-0.5/-1,AWAY,1.760,76.00,WIN,0.0000,F1:0(Away:20-Home:20),away
2022-08-06T16:00:00.000Z,Manchester Utd,Brighton,1-2,-0.5/-1,AWAY,1.860,86.00,WIN,0.0000,F1:0(Away:20-Home:20),away
2022-08-06T16:00:00.000Z,Everton,Chelsea,0-1,+1,AWAY,1.840,0.00,PUSH,0.0000,F1:0(Away:20-Home:20),draw
2022-08-06T16:00:00.000Z,West Ham,Manchester City,3-0,+1/+1.5,AWAY,1.750,75.00,WIN,0.0000,F1:0(Away:20-Home:20),away
2022-08-12T16:00:00.000Z,Southampton,Leeds,2-2,0/-0.5,HOME,2.040,0.00,PUSH,14.0000,F1:14(Away:6-Home:20),draw
2022-08-12T16:00:00.000Z,Aston Villa,Everton,2-1,-0.5/-1,AWAY,1.890,-100.00,LOSS,1.0000,F1:1(Away:15-Home:16),home
2022-08-12T16:00:00.000Z,Manchester City,Bournemouth,4-0,-2.5/-3,AWAY,1.970,-100.00,LOSS,0.0000,F1:0(Away:2-Home:2),home
2022-08-13T16:00:00.000Z,Chelsea,Tottenham,2-2,0/-0.5,AWAY,1.910,0.00,PUSH,1.0000,F1:1(Away:6-Home:7),draw
2022-08-13T16:00:00.000Z,Nottingham Forest,West Ham,4-0,+0.5/+1,AWAY,2.120,-100.00,LOSS,0.0000,F1:0(Away:18-Home:18),home
2022-08-20T16:00:00.000Z,Leeds,Chelsea,1-0,+1,AWAY,1.750,-100.00,LOSS,1.0000,F1:1(Away:9-Home:8),home
2022-08-26T16:00:00.000Z,Liverpool,Bournemouth,9-0,-2/-2.5,AWAY,2.010,-100.00,LOSS,1.0000,F1:1(Away:15-Home:16),home
2022-08-30T16:00:00.000Z,Leeds,Everton,1-1,0/-0.5,HOME,1.760,0.00,PUSH,13.0000,F1:13(Away:18-Home:5),draw
2022-08-31T16:00:00.000Z,West Ham,Tottenham,1-1,0/+0.5,HOME,1.940,0.00,PUSH,15.0000,F1:15(Away:3-Home:18),draw
2022-08-31T16:00:00.000Z,Arsenal,Aston Villa,2-1,-1,HOME,1.800,0.00,PUSH,14.0000,F1:14(Away:16-Home:2),draw
2022-08-31T16:00:00.000Z,Manchester City,Nottingham Forest,6-0,-2.5/-3,HOME,1.840,84.00,WIN,12.0000,F1:12(Away:14-Home:2),home
2022-08-31T16:00:00.000Z,Bournemouth,Wolves,0-0,0/+0.5,AWAY,1.920,0.00,PUSH,1.0000,F1:1(Away:19-Home:18),draw
2022-09-02T16:00:00.000Z,Everton,Liverpool,0-0,+1/+1.5,HOME,2.060,106.00,WIN,12.0000,F1:12(Away:6-Home:18),home
2022-09-02T16:00:00.000Z,Nottingham Forest,Bournemouth,2-3,0/-0.5,AWAY,1.960,96.00,WIN,1.0000,F1:1(Away:17-Home:16),away
2022-09-03T16:00:00.000Z,Aston Villa,Manchester City,1-1,+1.5/+2,HOME,1.810,81.00,WIN,16.0000,F1:16(Away:3-Home:19),home
