"Date","Home Team","Away Team","Home Score","Away Score","Bet Choice","Profit","Is Win","Factor Values","Combined Value","Decision Logic","Home Odds","Away Odds","Handicap"
"2023-12-05T16:00:00.000Z","Luton","Arsenal","3","4","HOME","111","true","[14.679]","14.679","Factors: [14.679] Combined: 14.679 → BET HOME (Top 15%)","2.11","1.74","Unknown"
"2023-12-09T16:00:00.000Z","Luton","Manchester City","1","2","HOME","117","true","[13.761]","13.761","Factors: [13.761] Combined: 13.761 → BET HOME (Top 15%)","2.17","1.7","Unknown"
"2024-03-04T16:00:00.000Z","Sheff Utd","Arsenal","0","6","HOME","-100","false","[13.303]","13.303","Factors: [13.303] Combined: 13.303 → BET HOME (Top 15%)","1.74","2.11","Unknown"
"2023-11-05T16:00:00.000Z","Luton","Liverpool","1","1","HOME","104.99999999999997","true","[13.182]","13.182","Factors: [13.182] Combined: 13.182 → BET HOME (Top 15%)","2.05","1.78","Unknown"
"2023-12-06T16:00:00.000Z","Sheff Utd","Liverpool","0","2","HOME","43.5","true","[12.844]","12.844","Factors: [12.844] Combined: 12.844 → BET HOME (Top 15%)","1.87","1.95","Unknown"
"2025-05-09T16:00:00.000Z","Southampton","Manchester City","0","0","HOME","92","true","[12.844]","12.844","Factors: [12.844] Combined: 12.844 → BET HOME (Top 15%)","1.92","1.9","Unknown"
"2023-08-26T16:00:00.000Z","Sheff Utd","Manchester City","1","2","HOME","106.99999999999997","true","[12.613]","12.613","Factors: [12.613] Combined: 12.613 → BET HOME (Top 15%)","2.07","1.77","Unknown"
"2025-04-19T16:00:00.000Z","Leicester","Liverpool","0","1","HOME","111","true","[10.268]","10.268","Factors: [10.268] Combined: 10.268 → BET HOME (Top 15%)","2.11","1.74","Unknown"
"2024-05-10T16:00:00.000Z","Fulham","Manchester City","0","4","HOME","-100","false","[9.910]","9.910","Factors: [9.910] Combined: 9.910 → BET HOME (Top 15%)","1.85","1.97","Unknown"
"2023-04-29T16:00:00.000Z","Fulham","Manchester City","1","2","HOME","89","true","[9.483]","9.483","Factors: [9.483] Combined: 9.483 → BET HOME (Top 15%)","1.89","1.93","Unknown"
"2025-05-24T16:00:00.000Z","Southampton","Arsenal","1","2","HOME","93","true","[9.130]","9.130","Factors: [9.130] Combined: 9.130 → BET HOME (Top 15%)","1.93","1.89","Unknown"
"2024-04-20T16:00:00.000Z","Wolves","Arsenal","0","2","HOME","-50","false","[9.052]","9.052","Factors: [9.052] Combined: 9.052 → BET HOME (Top 15%)","1.91","1.91","Unknown"
"2023-02-17T16:00:00.000Z","Nottingham Forest","Manchester City","1","1","HOME","89","true","[8.898]","8.898","Factors: [8.898] Combined: 8.898 → BET HOME (Top 15%)","1.89","1.93","Unknown"
"2023-02-25T16:00:00.000Z","Bournemouth","Manchester City","1","4","HOME","-100","false","[8.824]","8.824","Factors: [8.824] Combined: 8.824 → BET HOME (Top 15%)","1.85","1.97","Unknown"
"2022-12-28T16:00:00.000Z","Leeds","Manchester City","1","3","HOME","-50","false","[8.621]","8.621","Factors: [8.621] Combined: 8.621 → BET HOME (Top 15%)","1.97","1.85","Unknown"
"2024-02-16T16:00:00.000Z","Burnley","Arsenal","0","5","HOME","-100","false","[8.547]","8.547","Factors: [8.547] Combined: 8.547 → BET HOME (Top 15%)","1.84","1.98","Unknown"
"2023-04-08T16:00:00.000Z","Southampton","Manchester City","1","4","HOME","-100","false","[8.403]","8.403","Factors: [8.403] Combined: 8.403 → BET HOME (Top 15%)","1.84","2.07","Unknown"
